link,label
https://nhj0652301.firebaseapp.com/,1
https://q-r.to/bfJNOF,1
https://ato.gov.au/jobs/4299,0
https://microsoft.com/jobs/5945,0
https://ato.gov.au/jobs/2912,0
http://verify-now-login.net/login?session=bqqyb8&id=2092,1
https://amazon.jobs/jobs/1185,0
https://docs.google.com/forms/d/e/1FAIpQLSft7PEJQXwXtty1273WHkexm4k-2E1wzu5wx2WHd3gmz2nmjA/viewform,1
https://q-r.to/bgaqHO,1
https://amazon.jobs/jobs/3596,0
https://userhome.ghost.io/live-en/,1
https://ourabvbg.weebly.com/,1
http://goog1e-security.com/login?session=4sggi9&id=8226,1
https://amazon.jobs/jobs/1444,0
http://telstraa.com/login?session=g0foj3&id=4514,1
https://indeed.com/jobs/5858,0
https://ecproducard1.webcindario.com,1
https://newiprimusaudapps.weebly.com/,1
https://bafkreicv4z4zcu27qo476oomxjv2pixq4gvadfkni2okucx6ymzl4j5t2e.ipfs.dweb.link/,1
https://eu.jotform.com/app/251947473131357,1
https://pub-447b2a6f35f84fee818c6161577ab2d0.r2.dev/index.html,1
https://qrco.de/bfKXZF,1
http://account-warning-service.com/login?session=m7gsjm&id=9065,1
https://my.gov.au/jobs/9106,0
https://bafkreid3xurc6iyhtcrm25pvkzyzgquqspeg4xjytpx56ziqu3bg5wschq.ipfs.dweb.link/,1
https://q-r.to/bgae0S,1
https://my.gov.au/jobs/3446,0
https://linkedin.com/jobs/6633,0
https://l.ead.me/bfTinR,1
http://amaz0n-jobs.com/login?session=rpv2r0&id=6769,1
https://l.ead.me/bfOmzM,1
http://linkdln.com/login?session=tduo88&id=6693,1
https://new.express.adobe.com/webpage/ybkWdcF7fHvPV,1
https://my.gov.au/jobs/9931,0
https://rp.mockplus.com/run/k-igcNVQKs/P9Qadt_XMN/fOUF0XM4u6?cps=expand,1
http://urgent-verification.net/login?session=73z2kg&id=3191,1
https://telstra.com.au/jobs/4107,0
https://ato.gov.au/jobs/5828,0
https://linkedin.com/jobs/3903,0
https://ato.gov.au/jobs/1766,0
http://telstraa.com/login?session=2ayycm&id=3623,1
https://bit.ly/3Lv42h6,1
https://my.gov.au/jobs/6704,0
http://verify-now-login.net/login?session=6hwe0d&id=1936,1
https://bit.ly/3A69HaS,1
https://us19.campaign-archive.com/?u=cf7af419bca13c3f44ec4ef3e&id=a86b639578,1
https://www.dropbox.com/l/AACq61x7MR1UhTXsHbTIo6h7_fNMjIjf_js,1
http://telstraa.com/login?session=cwzp0n&id=4175,1
http://seek-jobs.net/login?session=ha7pcn&id=9686,1
http://52f1897b.5648702dd4d5255cab645104.workers.dev/,1
http://urgent-verification.net/login?session=4yxgkn&id=6277,1
http://account-warning-service.com/login?session=rgxxt2&id=1015,1
https://www.urefermioerehdfje.org/,1
https://suiteappss-trzre.wixstudio.com/us-en,1
https://seek.com.au/jobs/4186,0
https://ato.gov.au/jobs/8588,0
https://seek.com.au/jobs/7539,0
